date,country,country_code,age_group,deaths,source_sheet
2025-04-01,Guatemala,GTM,65+,0,Datos GT
2025-02-01,Guatemala,GTM,65+,0,Datos GT
2025-04-01,Guatemala,GTM,0 a 4,1,Datos GT
2025-06-01,Guatemala,GTM,15 a 64,0,Datos GT
2025-04-01,Guatemala,GTM,15 a 64,0,Datos GT
2025-04-01,Guatemala,GTM,5 a 14,0,Datos GT
2025-06-01,Guatemala,GTM,5 a 14,0,Datos GT
2025-05-01,Guatemala,GTM,15 a 64,0,Datos GT
2025-05-01,Guatemala,GTM,5 a 14,0,Datos GT
2025-07-01,Guatemala,GTM,15 a 64,0,Datos GT
2025-06-01,Guatemala,GTM,65+,0,Datos GT
2025-07-01,Guatemala,GTM,65+,0,Datos GT
2025-01-01,Guatemala,GTM,5 a 14,0,Datos GT
2025-07-01,Guatemala,GTM,5 a 14,0,Datos GT
2025-08-01,Guatemala,GTM,5 a 14,0,Datos GT
2025-08-01,Guatemala,GTM,65+,0,Datos GT
2025-01-01,Guatemala,GTM,0 a 4,0,Datos GT
2025-05-01,Guatemala,GTM,0 a 4,0,Datos GT
2025-05-01,Guatemala,GTM,65+,0,Datos GT
2025-08-01,Guatemala,GTM,15 a 64,0,Datos GT
2025-08-01,Guatemala,GTM,0 a 4,0,Datos GT
2025-01-01,Guatemala,GTM,15 a 64,0,Datos GT
2025-03-01,Guatemala,GTM,0 a 4,1,Datos GT
2025-03-01,Guatemala,GTM,15 a 64,0,Datos GT
2025-02-01,Guatemala,GTM,15 a 64,0,Datos GT
2025-03-01,Guatemala,GTM,5 a 14,0,Datos GT
2025-03-01,Guatemala,GTM,65+,0,Datos GT
2025-06-01,Guatemala,GTM,0 a 4,0,Datos GT
2025-07-01,Guatemala,GTM,0 a 4,0,Datos GT
2025-01-01,Guatemala,GTM,65+,0,Datos GT
2025-02-01,Guatemala,GTM,0 a 4,0,Datos GT
2025-02-01,Guatemala,GTM,5 a 14,0,Datos GT
2024-08-01,Guatemala,GTM,5 a 14,0,Datos GT
2024-03-01,Guatemala,GTM,15 a 64,0,Datos GT
2024-08-01,Guatemala,GTM,0 a 4,0,Datos GT
2024-02-01,Guatemala,GTM,65+,0,Datos GT
2024-07-01,Guatemala,GTM,65+,0,Datos GT
2024-01-01,Guatemala,GTM,15 a 64,0,Datos GT
2024-06-01,Guatemala,GTM,65+,0,Datos GT
2024-05-01,Guatemala,GTM,5 a 14,0,Datos GT
